Month,Date,Amount,Category
Sep 2025,2025-09-01,6.64,Cooking/Groceries
Sep 2025,2025-09-01,4,Cooking/Groceries
Sep 2025,2025-09-01,3.37,Cooking/Groceries
Sep 2025,2025-09-01,12.57,Cooking/Groceries
Sep 2025,2025-09-02,3.45,Cooking/Groceries
Sep 2025,2025-09-02,5.86,Cooking/Groceries
Sep 2025,2025-09-02,20,Transportation
Sep 2025,2025-09-03,4.36,Cooking/Groceries
Sep 2025,2025-09-05,4,Cooking/Groceries
Sep 2025,2025-09-05,5,Transportation
Sep 2025,2025-09-05,5,Transportation
Sep 2025,2025-09-05,5,Cooking/Groceries
Sep 2025,2025-09-05,9.99,Projects
Sep 2025,2025-09-05,32,Projects
Sep 2025,2025-09-05,2.13,Cooking/Groceries
Sep 2025,2025-09-05,21,Travel/Adventure
Sep 2025,2025-09-06,20,Projects
Sep 2025,2025-09-06,40,Cooking/Groceries
Sep 2025,2025-09-08,70,Travel/Adventure
Sep 2025,2025-09-09,4,Cooking/Groceries
Sep 2025,2025-09-09,17,Projects
Sep 2025,2025-09-09,7,Cooking/Groceries
Sep 2025,2025-09-11,6,Cooking/Groceries
Sep 2025,2025-09-11,21,Cooking/Groceries
Sep 2025,2025-09-12,8,Cooking/Groceries
Sep 2025,2025-09-13,29.9,Cooking/Groceries
Sep 2025,2025-09-15,15,Transportation
Sep 2025,2025-09-15,3.9,Cooking/Groceries
Sep 2025,2025-09-18,20,Cooking/Groceries
Sep 2025,2025-09-18,3.39,Cooking/Groceries
Sep 2025,2025-09-18,20,Cooking/Groceries
Sep 2025,2025-09-19,8,Cooking/Groceries
Sep 2025,2025-09-19,17,Transportation
Sep 2025,2025-09-22,30,Cooking/Groceries
Sep 2025,2025-09-22,70,Cooking/Groceries
Oct 2025,2025-10-03,45,Cooking/Groceries
Oct 2025,2025-10-03,11.48,Cooking/Groceries
Oct 2025,2025-10-03,3.7,Cooking/Groceries
Oct 2025,2025-10-03,7,Cooking/Groceries
Oct 2025,2025-10-05,30,Cooking/Groceries
Oct 2025,2025-10-05,13,Cooking/Groceries
Oct 2025,2025-10-05,19,Cooking/Groceries
Oct 2025,2025-10-05,6.38,Cooking/Groceries
Oct 2025,2025-10-05,10,Other
Oct 2025,2025-10-06,15,Utilities
Oct 2025,2025-10-06,5.1,Cooking/Groceries
Oct 2025,2025-10-06,7,Cooking/Groceries
Oct 2025,2025-10-08,4,Cooking/Groceries
Oct 2025,2025-10-09,8.82,Cooking/Groceries
Oct 2025,2025-10-12,22,Transportation
Oct 2025,2025-10-17,100,Cooking/Groceries
Oct 2025,2025-10-17,21,Cooking/Groceries
Oct 2025,2025-10-17,20,Transportation
Oct 2025,2025-10-17,6,Cooking/Groceries
Oct 2025,2025-10-17,13.5,Cooking/Groceries
May 2025,2025-05-01,20,Projects
May 2025,2025-05-02,7.58,Cooking/Groceries
May 2025,2025-05-05,7.48,Cooking/Groceries
May 2025,2025-05-05,57.38,Cooking/Groceries
May 2025,2025-05-05,5.97,Personal
May 2025,2025-05-06,21.25,Projects
May 2025,2025-05-07,3.79,Cooking/Groceries
May 2025,2025-05-07,3.89,Cooking/Groceries
May 2025,2025-05-09,12.55,Transportation
May 2025,2025-05-09,7.78,Cooking/Groceries
May 2025,2025-05-09,3.89,Cooking/Groceries
May 2025,2025-05-10,27.97,Transportation
May 2025,2025-05-11,90,Cooking/Groceries
May 2025,2025-05-11,17.93,Cooking/Groceries
May 2025,2025-05-11,3.49,Cooking/Groceries
May 2025,2025-05-13,5.39,Cooking/Groceries
May 2025,2025-05-14,24.42,Cooking/Groceries
May 2025,2025-05-17,3.8,Cooking/Groceries
May 2025,2025-05-17,2.99,Cooking/Groceries
May 2025,2025-05-17,21.35,Transportation
May 2025,2025-05-17,8.5,Cooking/Groceries
May 2025,2025-05-17,12.91,Cooking/Groceries
May 2025,2025-05-17,180,Other
May 2025,2025-05-20,15,Cooking/Groceries
May 2025,2025-05-20,15,Cooking/Groceries
May 2025,2025-05-21,3.89,Cooking/Groceries
May 2025,2025-05-22,18.08,Transportation
May 2025,2025-05-22,2.3,Cooking/Groceries
May 2025,2025-05-24,19.35,Cooking/Groceries
May 2025,2025-05-24,11.8,Cooking/Groceries
May 2025,2025-05-24,5.44,Cooking/Groceries
May 2025,2025-05-25,36.85,Cooking/Groceries
May 2025,2025-05-28,15,Cooking/Groceries
May 2025,2025-05-29,15,Cooking/Groceries
May 2025,2025-05-29,6,Cooking/Groceries
May 2025,2025-05-30,36,Cooking/Groceries
May 2025,2025-05-30,2,Cooking/Groceries
May 2025,2025-05-31,22,Cooking/Groceries
May 2025,2025-05-31,3,Cooking/Groceries
Jun 2025,2025-06-02,3.46,Cooking/Groceries
Jun 2025,2025-06-02,15,Transportation
Jun 2025,2025-06-03,70,Projects
Jun 2025,2025-06-04,3.58,Cooking/Groceries
Jun 2025,2025-06-04,83,Transportation
Jun 2025,2025-06-06,6.38,Cooking/Groceries
Jun 2025,2025-06-06,21.73,Projects
Jun 2025,2025-06-06,15.03,Transportation
Jun 2025,2025-06-06,5.1,Cooking/Groceries
Jun 2025,2025-06-06,25.69,Transportation
Jun 2025,2025-06-06,54.63,Projects
Jun 2025,2025-06-06,48.96,Projects
Jun 2025,2025-06-06,21,Cooking/Groceries
Jun 2025,2025-06-06,15,Transportation
Jun 2025,2025-06-07,12.47,Cooking/Groceries
Jun 2025,2025-06-08,17,Cooking/Groceries
Jun 2025,2025-06-08,28.18,Cooking/Groceries
Jun 2025,2025-06-08,12,Utilities
Jun 2025,2025-06-09,37.35,Cooking/Groceries
Jun 2025,2025-06-09,22,Cooking/Groceries
Jun 2025,2025-06-09,20,Cooking/Groceries
Jun 2025,2025-06-10,5.34,Cooking/Groceries
Jun 2025,2025-06-10,11.31,Cooking/Groceries
Jun 2025,2025-06-10,2.39,Cooking/Groceries
Jun 2025,2025-06-10,21.4,Projects
Jun 2025,2025-06-14,4,Cooking/Groceries
Jun 2025,2025-06-14,10,Transportation
