Month,Date,Amount,Category,Mood,TimeOfDay,DayOfWeek,WeekNumber
Dec 2025,2025-12-04 09:00:09,20.89,Transportation,Necessary,Morning,Thursday,49
Dec 2025,2025-12-04 09:49:13,2.55,Eating Out,Impulse,Morning,Thursday,49
Dec 2025,2025-12-04 09:50:17,7.43,Eating Out,Impulse,Morning,Thursday,49
Dec 2025,2025-12-04 09:50:27,10.15,Eating Out,Necessary,Morning,Thursday,49
Dec 2025,2025-12-04 09:50:43,2.55,Eating Out,Impulse,Morning,Thursday,49
Dec 2025,2025-12-04 09:50:52,4.24,Transportation,Necessary,Morning,Thursday,49
Dec 2025,2025-12-04 09:51:04,10.0,Utilities,Necessary,Morning,Thursday,49
Dec 2025,2025-12-04 20:03:24,40.0,Beauty/Grooming,Necessary,Evening,Thursday,49
Dec 2025,2025-12-04 20:12:42,5.0,Eating Out,Impulse,Evening,Thursday,49
Dec 2025,2025-12-04 20:12:54,11.0,Cooking/Groceries,Necessary,Evening,Thursday,49
Dec 2025,2025-12-05 12:38:43,2.15,Eating Out,Necessary,Afternoon,Friday,49
Dec 2025,2025-12-05 16:41:23,16.0,Clothing,Necessary,Afternoon,Friday,49
Dec 2025,2025-12-05 16:41:32,11.0,Transportation,Necessary,Afternoon,Friday,49
Dec 2025,2025-12-05 19:57:25,45.0,Eating Out,Impulse,Evening,Friday,49
Dec 2025,2025-12-06 14:22:45,7.72,Eating Out,Impulse,Afternoon,Saturday,49
Dec 2025,2025-12-06 22:07:19,16.3,Transportation,Necessary,Night,Saturday,49
Dec 2025,2025-12-07 07:00:53,3.0,Eating Out,Impulse,Morning,Sunday,50
Dec 2025,2025-12-07 07:01:29,6.63,Eating Out,Necessary,Morning,Sunday,50
Dec 2025,2025-12-08 11:12:30,10.3,Eating Out,Necessary,Morning,Monday,50
Dec 2025,2025-12-08 11:55:25,3.0,Eating Out,Impulse,Morning,Monday,50
Dec 2025,2025-12-09 07:43:41,11.0,Eating Out,Social,Morning,Tuesday,50
Dec 2025,2025-12-09 07:43:50,6.3,Eating Out,Necessary,Morning,Tuesday,50
