April 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
6.1,Eating Out,Impulse,Afternoon,Wednesday,14,4/1/2026 15:42:07
31.01,Projects,Impulse,Afternoon,Wednesday,14,4/1/2026 15:42:18
92.47,Transportation,Impulse,Morning,Thursday,14,4/2/2026 9:01:29
47.11,Cooking/Groceries,Necessary,Morning,Friday,14,4/3/2026 9:08:49
6.1,Eating Out,Impulse,Morning,Friday,14,4/3/2026 9:08:59
16.99,Projects,Necessary,Morning,Friday,14,4/3/2026 9:10:17
12.91,Travel/Adventure,Planned,Late Night,Sunday,15,4/5/2026 23:06:04
18.7,Travel/Adventure,Planned,Late Night,Sunday,15,4/5/2026 23:06:18
4.23,Eating Out,Necessary,Late Night,Sunday,15,4/5/2026 23:06:45
11.97,Cooking/Groceries,Impulse,Late Night,Sunday,15,4/5/2026 23:07:04
0.7,Eating Out,Impulse,Late Night,Sunday,15,4/5/2026 23:07:21
12,Transportation,Necessary,Late Night,Sunday,15,4/5/2026 23:07:33
2,Travel/Adventure,Planned,Late Night,Sunday,15,4/5/2026 23:07:51
25.34,Cooking/Groceries,Impulse,Late Night,Sunday,15,4/5/2026 23:08:17
34.33,Cooking/Groceries,Impulse,Late Night,Sunday,15,4/5/2026 23:08:53
3.24,Eating Out,Impulse,Late Night,Sunday,15,4/5/2026 23:09:08
34.62,Transportation,Necessary,Morning,Tuesday,15,4/7/2026 6:25:44
5.1,Eating Out,Impulse,Morning,Tuesday,15,4/7/2026 6:25:52
6.1,Eating Out,Impulse,Afternoon,Wednesday,15,4/8/2026 16:26:15
7.87,Cooking/Groceries,Planned,Afternoon,Wednesday,15,4/8/2026 16:26:48
17,Transportation,Necessary,Morning,Thursday,15,4/9/2026 8:32:09
5.99,Cooking/Groceries,Social,Evening,Thursday,15,4/9/2026 20:01:46
32.86,Eating Out,Social,Evening,Thursday,15,4/9/2026 20:01:57
3.34,Eating Out,Impulse,Morning,Sunday,16,4/12/2026 11:34:17
6.43,Transportation,Necessary,Morning,Sunday,16,4/12/2026 11:34:53
10.62,Eating Out,Impulse,Morning,Sunday,16,4/12/2026 11:35:10
5.88,Eating Out,Impulse,Morning,Sunday,16,4/12/2026 11:35:24
11.36,Eating Out,Impulse,Morning,Sunday,16,4/12/2026 11:35:44
7.28,Eating Out,Impulse,Morning,Sunday,16,4/12/2026 11:35:58
6.46,Eating Out,Impulse,Morning,Sunday,16,4/12/2026 11:36:09
3.81,Eating Out,Impulse,Morning,Monday,16,4/13/2026 7:43:14
14.47,Cooking/Groceries,Necessary,Morning,Tuesday,16,4/14/2026 8:56:01
6.1,Eating Out,Impulse,Morning,Thursday,16,4/16/2026 8:46:38
6.38,Eating Out,Necessary,Morning,Thursday,16,4/16/2026 8:46:53
39.29,Transportation,Necessary,Morning,Thursday,16,4/16/2026 9:01:45
