August 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
66.63,Projects,Necessary,Afternoon,Saturday,31,8/1/2026 14:41:31
24.18,Eating Out,Social,Afternoon,Saturday,31,8/1/2026 14:41:53
30.5,Transportation,Necessary,Afternoon,Saturday,31,8/1/2026 14:42:09
57.18,Eating Out,Social,Afternoon,Saturday,31,8/1/2026 14:42:30
34.8,Eating Out,Social,Afternoon,Saturday,31,8/1/2026 14:42:30
10.84,Eating Out,Social,Afternoon,Saturday,31,8/1/2026 14:42:30
16,Eating Out,Social,Afternoon,Saturday,31,8/1/2026 14:42:30
65.42,Eating Out,Social,Morning,Sunday,32,8/2/2026
32.12,Transportation,Social,Morning,Sunday,32,8/2/2026
56.79,Transportation,Social,Morning,Sunday,32,8/2/2026
12.36,Eating Out,Social,Morning,Sunday,32,8/2/2026
132.27,Cooking/Groceries,Necessary,Morning,Sunday,32,8/2/2026
31.2,Transportation,Necessary,Morning,Sunday,32,8/2/2026
6.06,Eating Out,Impulse,Morning,Sunday,32,8/2/2026
13.07,Cooking/Groceries,Necessary,Morning,Monday,32,8/3/2026
3.77,Eating Out,Impulse,Morning,Monday,32,8/3/2026
7.14,Cooking/Groceries,Impulse,Morning,Tuesday,32,8/4/2026
80,Utilities,Necessary,Morning,Tuesday,32,8/4/2026
10,Eating Out,Impulse,Morning,Tuesday,32,8/4/2026
2.79,Eating Out,Impulse,Morning,Wednesday,32,8/5/2026
10,Eating Out,Impulse,Morning,Thursday,32,8/6/2026
2.79,Eating Out,Impulse,Morning,Thursday,32,8/6/2026
14.76,Cooking/Groceries,Necessary,Morning,Thursday,32,8/6/2026
16.28,Eating Out,Impulse,Morning,Thursday,32,8/6/2026
43,Utilities,Necessary,Morning,Friday,32,8/7/2026
6.8,Utilities,Necessary,Morning,Friday,32,8/7/2026
34.01,Cooking/Groceries,Necessary,Morning,Friday,32,8/7/2026
5.3,Projects,Necessary,Morning,Saturday,32,8/8/2026
12.63,Cooking/Groceries,Necessary,Morning,Saturday,32,8/8/2026
510.4,Projects,Necessary,Afternoon,Sunday,33,8/9/2026 16:17:54
9.45,Cooking/Groceries,Necessary,Evening,Thursday,33,8/13/2026 18:59:59
273.2,Travel/Adventure,Necessary,Evening,Thursday,33,8/13/2026 19:00:18
144.98,Travel/Adventure,Necessary,Evening,Thursday,33,8/13/2026 19:01:07
10,Eating Out,Impulse,Morning,Thursday,33,08/13/2026
29,Beauty/Grooming,Necessary,Morning,Friday,33,08/13/2026
24.81,Cooking/Groceries,Necessary,Morning,Saturday,33,08/14/2026
56.08,Cooking/Groceries,Necessary,Morning,Sunday,34,08/15/2026
3.84,Cooking/Groceries,Necessary,Morning,Tuesday,34,08/16/2026
51.73,Eating Out,Social,Morning,Tuesday,34,08/18/2026
2.79,Eating Out,Impulse,Morning,Thursday,34,08/18/2026
38,Transportation,Necessary,Morning,Thursday,34,08/20/2026
13.71,Projects,Necessary,Morning,Friday,34,08/20/2026
4.39,Cooking/Groceries,Impulse,Morning,Saturday,34,08/21/2026
17.94,Eating Out,Social,,,,08/22/2026
1.99,Eating Out,Impulse,,,,08/24/2026
14.19,Cooking/Groceries,Necessary,,,,08/25/2026
4.39,Eating Out,Impulse,,,,08/26/2026
4.15,Eating Out,Impulse,,,,08/26/2026
52.1,Transportation,Necessary,,,,08/27/2026
25,Transportation,Necessary,,,,08/28/2026
4.79,Eating Out,Impulse,,,,08/29/2026
28,Utilities,Necessary,,,,08/30/2026
71.63,Cooking/Groceries,Social,,,,08/30/2026
32,Transportation,Necessary,,,,08/31/2026
5.78,Projects,Necessary,,,,08/31/2026
48,Eating Out,Social,,,,08/31/2026
