February 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
11,Eating Out,Necessary,Afternoon,Monday,6,2/2/2026 16:26:40
2.49,Eating Out,Necessary,Afternoon,Monday,6,2/2/2026 16:26:55
17.74,Cooking/Groceries,Necessary,Afternoon,Monday,6,2/2/2026 16:27:17
20.74,Transportation,Necessary,Afternoon,Monday,6,2/2/2026 16:27:29
42.28,Cooking/Groceries,Impulse,Afternoon,Monday,6,2/2/2026 16:27:42
4.25,Transportation,Necessary,Afternoon,Monday,6,2/2/2026 16:27:55
2.89,Eating Out,Necessary,Morning,Tuesday,6,2/3/2026 10:43:37
3.77,Eating Out,Impulse,Afternoon,Tuesday,6,2/3/2026 15:57:49
10.15,Eating Out,Planned,Morning,Wednesday,6,2/4/2026 7:41:27
476.33,Travel/Adventure,Planned,Morning,Thursday,6,2/5/2026 10:48:22
2.89,Eating Out,Impulse,Afternoon,Thursday,6,2/5/2026 16:17:14
2.89,Eating Out,Impulse,Morning,Friday,6,2/6/2026 11:21:44
16.16,Transportation,Necessary,Afternoon,Friday,6,2/6/2026 13:19:29
28.5,Cooking/Groceries,Impulse,Morning,Saturday,6,2/7/2026 8:08:34
14.3,Cooking/Groceries,Social,Morning,Saturday,6,2/7/2026 8:09:21
6.09,Eating Out,Necessary,Morning,Sunday,7,2/8/2026 6:19:03
3.69,Eating Out,Treat,Afternoon,Sunday,7,2/8/2026 13:31:45
10.8,Utilities,Necessary,Morning,Monday,7,2/9/2026 5:21:12
47.8,Eating Out,Social,Morning,Monday,7,2/9/2026 5:56:20
2.9,Transportation,Necessary,Morning,Wednesday,7,2/11/2026 7:41:54
4.83,Eating Out,Impulse,Morning,Wednesday,7,2/11/2026 7:42:43
10.3,Cooking/Groceries,Impulse,Morning,Wednesday,7,2/11/2026 7:42:50
2.89,Eating Out,Impulse,Morning,Wednesday,7,2/11/2026 7:43:09
3.74,Eating Out,Impulse,Morning,Wednesday,7,2/11/2026 7:43:20
4.39,Eating Out,Treat,Morning,Wednesday,7,2/11/2026 7:43:37
2.89,Eating Out,Impulse,Morning,Thursday,7,2/12/2026 7:47:17
29.42,Cooking/Groceries,Impulse,Morning,Thursday,7,2/12/2026 7:47:36
3.15,Eating Out,Impulse,Morning,Friday,7,2/13/2026 7:47:59
5.31,Eating Out,Treat,Morning,Sunday,8,2/15/2026 7:52:30
15.31,Cooking/Groceries,Social,Morning,Sunday,8,2/15/2026 7:52:49
3.24,Eating Out,Impulse,Evening,Sunday,8,2/15/2026 20:24:21
9.1,Eating Out,Impulse,Morning,Tuesday,8,2/17/2026 11:42:10
15,Transportation,Necessary,Morning,Wednesday,8,2/18/2026 7:04:10
8.33,Eating Out,Impulse,Morning,Wednesday,8,2/18/2026 7:04:20
3.15,Eating Out,Impulse,Morning,Thursday,8,2/19/2026 7:48:41
3.15,Eating Out,Impulse,Afternoon,Thursday,8,2/19/2026 14:38:18
5.98,Eating Out,Impulse,Afternoon,Thursday,8,2/19/2026 14:38:26
11,Eating Out,Necessary,Afternoon,Thursday,8,2/19/2026 14:38:32
9.14,Eating Out,Impulse,Morning,Friday,8,2/20/2026 8:38:31
37.36,Cooking/Groceries,Impulse,Evening,Friday,8,2/20/2026 18:22:22
5.35,Eating Out,Necessary,Morning,Saturday,8,2/21/2026 9:58:53
27.84,Transportation,Necessary,Morning,Saturday,8,2/21/2026 9:59:26
17.47,Cooking/Groceries,Impulse,Evening,Saturday,8,2/21/2026 20:33:23
3.69,Eating Out,Treat,Morning,Sunday,9,2/22/2026 9:11:22
3.04,Eating Out,Impulse,Morning,Monday,4,2/23/2026 9:56:46
6.23,Eating Out,Impulse,Evening,Monday,4,2/23/2026 21:09:03
3.69,Eating Out,Impulse,Morning,Tuesday,4,2/24/2026 9:23:18
1.4,Transportation,Necessary,Evening,Wednesday,4,2/25/2026 18:42:43
4.45,Eating Out,Impulse,Evening,Wednesday,4,2/25/2026 18:43:30
5.69,Eating Out,Impulse,Evening,Wednesday,4,2/25/2026 18:45:12
5.35,Eating Out,Impulse,Evening,Wednesday,4,2/25/2026 18:45:40
6.1,Eating Out,Impulse,Evening,Thursday,4,2/26/2026 17:45:26
2.89,Eating Out,Impulse,Evening,Thursday,4,2/26/2026 17:45:38
27.31,Eating Out,Impulse,Morning,Friday,4,2/27/2026 9:58:01
2.89,Eating Out,Impulse,Morning,Friday,4,2/27/2026 9:58:14
3.69,Eating Out,Impulse,Morning,Saturday,4,2/28/2026 7:46:06
19.85,Transportation,Necessary,Evening,Saturday,4,2/28/2026 21:08:20
9,Eating Out,Social,Evening,Saturday,4,2/28/2026 21:08:26
14,Transportation,Necessary,Late Night,Saturday,4,2/28/2026 22:13:50
