July 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
23,Transportation,Social,Morning,Saturday,27,7/4/2026 9:59:57
1.07,Eating Out,Impulse,Morning,Saturday,27,7/4/2026 10:00:13
3.49,Eating Out,Impulse,Morning,Saturday,27,7/4/2026 10:00:36
6.72,Eating Out,Impulse,Morning,Saturday,27,7/4/2026 10:00:56
35.58,Transportation,Necessary,Morning,Saturday,27,7/4/2026 10:01:38
11.32,Eating Out,Impulse,Morning,Saturday,27,7/4/2026 10:01:53
4.76,Eating Out,Necessary,Morning,Saturday,27,7/4/2026 10:04:24
55.95,Other,Social,Afternoon,Saturday,27,7/4/2026 16:17:19
3.24,Eating Out,Impulse,Afternoon,Saturday,27,7/4/2026 16:17:30
12,Transportation,Necessary,Afternoon,Saturday,27,7/4/2026 16:17:38
15.46,Eating Out,Impulse,Afternoon,Saturday,27,7/4/2026 16:18:16
99,Other,Social,Morning,Monday,28,7/6/2026 10:04:47
448,Transportation,Necessary,Morning,Wednesday,28,7/8/2026 7:42:21
31.79,Clothing,Necessary,Late Night,Wednesday,28,7/8/2026 22:19:00
10.38,Clothing,Necessary,Late Night,Wednesday,28,7/8/2026 22:25:35
168.18,Clothing,Necessary,Late Night,Wednesday,28,7/8/2026 22:25:54
5.25,Clothing,Necessary,Late Night,Wednesday,28,7/8/2026 22:26:09
59.69,Beauty/Grooming,Necessary,Late Night,Wednesday,28,7/8/2026 23:06:57
37.14,Clothing,Necessary,Afternoon,Thursday,28,7/9/2026 12:48:47
44.47,Cooking/Groceries,Necessary,Afternoon,Thursday,28,7/9/2026 14:43:36
37.14,Clothing,Necessary,Morning,Friday,28,7/10/2026 11:08:20
26.75,Projects,Impulse,Morning,Friday,28,7/10/2026 11:09:00
44.47,Cooking/Groceries,Necessary,Morning,Friday,28,7/10/2026 11:09:11
12.41,Projects,Necessary,Morning,Friday,28,7/10/2026 11:09:47
120.93,Projects,Planned,Morning,Friday,28,7/10/2026 11:10:35
29.88,Projects,Planned,Morning,Friday,28,7/10/2026 11:10:57
6.48,Projects,Planned,Morning,Friday,28,7/10/2026 11:11:15
5,Cooking/Groceries,Necessary,Morning,Friday,28,7/10/2026 11:11:38
20.05,Beauty/Grooming,Necessary,Morning,Friday,28,7/10/2026 11:11:55
14.56,Cooking/Groceries,Impulse,Afternoon,Friday,28,7/10/2026 15:43:37
30.17,Cooking/Groceries,Impulse,Morning,Sunday,29,7/12/2026 9:43:21
35.63,Utilities,Necessary,Morning,Sunday,29,7/12/2026 9:43:46
