June 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
45.50,Eating Out,Social,Afternoon,Wednesday,23,6/3/2026 15:00:25
24.30,Eating Out,Necessary,Afternoon,Wednesday,23,6/3/2026 15:00:42
4.25,Eating Out,Impulse,Evening,Friday,23,6/5/2026 18:49:34
4.25,Eating Out,Impulse,Evening,Friday,23,6/5/2026 18:50:00
31.31,Cooking/Groceries,Social,Evening,Friday,23,6/5/2026 18:50:15
5.50,Eating Out,Impulse,Evening,Friday,23,6/5/2026 18:50:26
35.35,Transportation,Social,Evening,Friday,23,6/5/2026 18:50:37
44.32,Cooking/Groceries,Social,Evening,Monday,24,6/8/2026 19:34:49
18.95,Cooking/Groceries,Social,Evening,Monday,24,6/8/2026 19:35:04
12.60,Eating Out,Impulse,Evening,Monday,24,6/8/2026 19:35:22
0.75,Transportation,Necessary,Evening,Monday,24,6/8/2026 19:36:13
20.53,Cooking/Groceries,Social,Evening,Monday,24,6/8/2026 19:36:23
23.10,Cooking/Groceries,Social,Evening,Monday,24,6/8/2026 19:38:56
4.08,Cooking/Groceries,Social,Evening,Monday,24,6/8/2026 19:39:25
4.00,Eating Out,Impulse,Evening,Tuesday,24,6/9/2026 19:17:16
3.25,Eating Out,Impulse,Afternoon,Wednesday,24,6/10/2026 14:43:45
6.84,Eating Out,Impulse,Afternoon,Wednesday,24,6/10/2026 14:43:53
298.30,Other,Treat,Evening,Thursday,24,6/11/2026 19:20:12
4.57,Eating Out,Impulse,Evening,Thursday,24,6/11/2026 19:20:39
28.17,Transportation,Social,Evening,Thursday,24,6/11/2026 19:20:52
11.48,Cooking/Groceries,Impulse,Evening,Thursday,24,6/11/2026 19:21:23
6.64,Eating Out,Impulse,Evening,Thursday,24,6/11/2026 19:21:59
9.40,Beauty/Grooming,Social,Evening,Thursday,24,6/11/2026 19:22:15
4.25,Eating Out,Impulse,Afternoon,Monday,25,6/15/2026 14:33:29
13.65,Projects,Necessary,Afternoon,Monday,25,6/15/2026 14:33:44
30.00,Transportation,Necessary,Afternoon,Monday,25,6/15/2026 14:34:03
17.66,Cooking/Groceries,Necessary,Afternoon,Monday,25,6/15/2026 14:35:43
16.00,Transportation,Social,Afternoon,Monday,25,6/15/2026 14:37:04
7.75,Transportation,Social,Afternoon,Monday,25,6/15/2026 14:38:12
3.45,Eating Out,Impulse,Afternoon,Wednesday,25,6/17/2026 13:48:48
3.00,Transportation,Necessary,Afternoon,Saturday,25,6/20/2026 14:26:08
3.45,Eating Out,Impulse,Afternoon,Saturday,25,6/20/2026 14:26:29
3.92,Eating Out,Impulse,Afternoon,Saturday,25,6/20/2026 14:26:39
3.45,Eating Out,Impulse,Afternoon,Saturday,25,6/20/2026 14:26:57
3.45,Eating Out,Impulse,Afternoon,Saturday,25,6/20/2026 14:27:06
17.88,Eating Out,Impulse,Afternoon,Saturday,25,6/20/2026 14:27:17
3.45,Eating Out,Impulse,Afternoon,Saturday,25,6/20/2026 14:27:27
11.12,Cooking/Groceries,Impulse,Afternoon,Sunday,26,6/21/2026 12:20:23
4.98,Cooking/Groceries,Impulse,Afternoon,Sunday,26,6/21/2026 12:20:42
3.28,Eating Out,Impulse,Afternoon,Sunday,26,6/21/2026 12:20:58
40.00,Beauty/Grooming,Necessary,Late Night,Tuesday,26,6/23/2026 23:20:01
19.20,Cooking/Groceries,Impulse,Late Night,Tuesday,26,6/23/2026 23:20:17
20.30,Transportation,Necessary,Evening,Wednesday,26,6/24/2026 19:19:48
6.57,Eating Out,Impulse,Evening,Wednesday,26,6/24/2026 19:20:06
1.95,Eating Out,Impulse,Evening,Wednesday,26,6/24/2026 19:20:20
28.49,Transportation,Social,Afternoon,Saturday,26,6/27/2026 14:40:43
4.57,Cooking/Groceries,Impulse,Afternoon,Saturday,26,6/27/2026 14:42:16
13.55,Cooking/Groceries,Social,Afternoon,Saturday,26,6/27/2026 14:42:33
6.02,Eating Out,Impulse,Afternoon,Saturday,26,6/27/2026 14:42:47
3.23,Cooking/Groceries,Social,Afternoon,Saturday,26,6/27/2026 14:43:01
12.50,Eating Out,Impulse,Afternoon,Saturday,26,6/27/2026 14:44:23
9.70,Eating Out,Impulse,Afternoon,Saturday,26,6/27/2026 14:44:32
3.45,Eating Out,Impulse,Afternoon,Saturday,26,6/27/2026 14:44:52
17.98,Cooking/Groceries,Social,Afternoon,Saturday,26,6/27/2026 16:33:19
5.45,Eating Out,Impulse,Evening,Tuesday,27,6/30/2026 19:35:21
15.43,Cooking/Groceries,Social,Evening,Tuesday,27,6/30/2026 19:35:37
13.15,Cooking/Groceries,Social,Evening,Tuesday,27,6/30/2026 19:35:48
7.86,Cooking/Groceries,Social,Evening,Tuesday,27,6/30/2026 19:35:58
49.52,Transportation,Social,Evening,Tuesday,27,6/30/2026 19:36:10
