March 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
3.69,Eating Out,Impulse,Morning,Sunday,10,3/1/2026 10:24:00
3.24,Eating Out,Impulse,Afternoon,Monday,10,3/2/2026 14:19:13
18.46,Cooking/Groceries,Impulse,Afternoon,Monday,10,3/2/2026 14:19:29
5.44,Eating Out,Impulse,Afternoon,Monday,10,3/2/2026 14:19:38
41.1,Transportation,Impulse,Afternoon,Monday,10,3/2/2026 14:22:33
10,Eating Out,Impulse,Evening,Wednesday,10,3/4/2026 17:15:25
5.44,Eating Out,Impulse,Evening,Wednesday,10,3/4/2026 17:15:55
2.89,Eating Out,Impulse,Evening,Wednesday,10,3/4/2026 17:16:03
7.81,Eating Out,Impulse,Evening,Thursday,10,3/5/2026 21:37:43
21.24,Transportation,Necessary,Evening,Thursday,10,3/5/2026 21:37:43
10,Utilities,Necessary,Evening,Thursday,10,3/5/2026 21:38:01
4,Eating Out,Impulse,Evening,Thursday,10,3/5/2026 21:38:12
2.89,Eating Out,Impulse,Morning,Friday,10,3/6/2026 10:43:46
11.77,Eating Out,Necessary,Afternoon,Friday,10,3/6/2026 14:17:36
13.09,Eating Out,Necessary,Afternoon,Friday,10,3/6/2026 14:17:51
6.89,Eating Out,Impulse,Morning,Saturday,10,3/7/2026 6:25:15
6.43,Eating Out,Impulse,Evening,Saturday,10,3/7/2026 19:09:07
2.72,Eating Out,Impulse,Afternoon,Tuesday,11,3/10/2026 16:03:26
3.89,Eating Out,Impulse,Afternoon,Tuesday,11,3/10/2026 16:03:35
10.15,Eating Out,Necessary,Afternoon,Tuesday,11,3/10/2026 16:03:52
6.43,Eating Out,Impulse,Afternoon,Tuesday,11,3/10/2026 16:04:04
12,Transportation,Necessary,Morning,Wednesday,11,3/11/2026 8:10:01
2.75,Transportation,Necessary,Morning,Wednesday,11,3/11/2026 8:52:51
32.24,Transportation,Necessary,Morning,Friday,11,3/13/2026 4:29:35
25.18,Transportation,Necessary,Morning,Friday,11,3/13/2026 4:29:50
3.69,Eating Out,Impulse,Morning,Friday,11,3/13/2026 4:30:10
13.4,Cooking/Groceries,Treat,Morning,Friday,11,3/13/2026 4:30:34
35.15,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:02:05
15.56,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:02:27
34.27,Travel/Adventure,Necessary,Morning,Sunday,12,3/15/2026 1:02:55
16.39,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:03:14
39.67,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:04:23
136.4,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:05:09
103,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:05:20
5.96,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:05:44
25,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:05:56
10.72,Travel/Adventure,Social,Morning,Sunday,12,3/15/2026 1:06:15
18.5,Travel/Adventure,Necessary,Morning,Sunday,12,3/15/2026 11:28:49
10.97,Travel/Adventure,Treat,Morning,Tuesday,12,3/17/2026 0:33:53
5.05,Eating Out,Necessary,Afternoon,Tuesday,12,3/17/2026 12:48:43
17.67,Travel/Adventure,Treat,Morning,Wednesday,12,3/18/2026 11:40:55
3.48,Travel/Adventure,Treat,Morning,Wednesday,12,3/18/2026 11:41:07
4.25,Travel/Adventure,Social,Morning,Wednesday,12,3/18/2026 11:45:30
20.31,Travel/Adventure,Treat,Afternoon,Wednesday,12,3/18/2026 13:55:44
6.74,Travel/Adventure,Treat,Afternoon,Wednesday,12,3/18/2026 13:56:03
8.5,Travel/Adventure,Treat,Afternoon,Thursday,12,3/19/2026 12:41:14
3.75,Travel/Adventure,Treat,Evening,Thursday,12,3/19/2026 17:47:10
27.52,Travel/Adventure,Necessary,Evening,Thursday,12,3/19/2026 17:47:26
23.17,Travel/Adventure,Social,Evening,Thursday,12,3/19/2026 17:47:39
14.7,Travel/Adventure,Social,Evening,Thursday,12,3/19/2026 17:48:01
6.78,Travel/Adventure,Social,Evening,Thursday,12,3/19/2026 17:48:16
52.08,Travel/Adventure,Social,Evening,Thursday,12,3/19/2026 17:48:39
16,Travel/Adventure,Social,Evening,Thursday,12,3/19/2026 17:48:46
4.28,Travel/Adventure,Necessary,Afternoon,Friday,12,3/20/2026 14:29:53
35.76,Travel/Adventure,Social,Afternoon,Friday,12,3/20/2026 14:30:07
17.75,Travel/Adventure,Social,Evening,Friday,12,3/20/2026 20:37:37
16.37,Travel/Adventure,Necessary,Afternoon,Sunday,13,3/22/2026 14:09:43
26.95,Transportation,Necessary,Afternoon,Sunday,13,3/22/2026 14:10:02
3.69,Eating Out,Necessary,Afternoon,Sunday,13,3/22/2026 14:10:13
9.14,Eating Out,Impulse,Morning,Wednesday,13,3/25/2026 11:12:27
36.4,Cooking/Groceries,Necessary,Morning,Wednesday,13,3/25/2026 11:12:39
8.15,Eating Out,Impulse,Morning,Wednesday,13,3/25/2026 11:12:48
15.98,Projects,Necessary,Afternoon,Thursday,13,3/26/2026 12:30:00
10.2,Projects,Necessary,Afternoon,Thursday,13,3/26/2026 12:30:18
37.85,Eating Out,Impulse,Afternoon,Saturday,13,3/28/2026 14:59:16
17.25,Eating Out,Impulse,Afternoon,Saturday,13,3/28/2026 14:59:38
11.39,Eating Out,Impulse,Evening,Sunday,14,3/29/2026 21:39:21
5.55,Eating Out,Impulse,Evening,Sunday,14,3/29/2026 21:39:52
19.1,Eating Out,Social,Evening,Sunday,14,3/29/2026 21:40:11
17.25,Eating Out,Impulse,Evening,Sunday,14,3/29/2026 21:40:24
30.4,Cooking/Groceries,Necessary,Morning,Monday,14,3/30/2026
10,Utilities,Necessary,Morning,Monday,14,3/30/2026
47.02,Eating Out,Social,Morning,Tuesday,14,3/31/2026
