May 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
6.10,Eating Out,Impulse,Morning,Friday,18,5/1/2026 10:31:09
6.10,Eating Out,Necessary,Morning,Saturday,18,5/2/2026 8:35:51
43.76,Transportation,Necessary,Morning,Saturday,18,5/2/2026 8:36:02
4.00,Eating Out,Impulse,Morning,Saturday,18,5/2/2026 8:36:14
24.00,Eating Out,Social,Morning,Saturday,18,5/2/2026 8:36:26
9.00,Beauty/Grooming,Necessary,Morning,Sunday,19,5/3/2026 9:41:47
6.30,Eating Out,Necessary,Morning,Sunday,19,5/3/2026 9:42:09
15.38,Eating Out,Impulse,Morning,Sunday,19,5/3/2026 9:42:48
3.24,Eating Out,Impulse,Morning,Sunday,19,5/3/2026 9:43:03
6.38,Eating Out,Necessary,Morning,Sunday,19,5/3/2026 9:43:21
2.84,Eating Out,Impulse,Morning,Sunday,19,5/3/2026 9:43:37
3.73,Eating Out,Impulse,Morning,Monday,19,5/4/2026 10:30:31
21.96,Transportation,Necessary,Morning,Monday,19,5/4/2026 10:30:45
19.45,Cooking/Groceries,Impulse,Morning,Monday,19,5/4/2026 10:31:00
27.88,Cooking/Groceries,Impulse,Morning,Monday,19,5/4/2026 10:31:20
8.76,Cooking/Groceries,Impulse,Late Night,Monday,19,5/4/2026 22:15:44
6.10,Eating Out,Impulse,Morning,Tuesday,19,5/5/2026 9:41:10
8.51,Eating Out,Social,Afternoon,Tuesday,19,5/5/2026 13:12:16
94.44,Projects,Social,Evening,Tuesday,19,5/5/2026 21:16:46
3.74,Eating Out,Impulse,Morning,Wednesday,19,5/6/2026 7:03:46
6.99,Eating Out,Impulse,Morning,Wednesday,19,5/6/2026 7:03:53
6.42,Eating Out,Impulse,Morning,Wednesday,19,5/6/2026 7:04:10
3.05,Eating Out,Impulse,Morning,Friday,19,5/8/2026 10:58:52
3.04,Eating Out,Impulse,Morning,Friday,19,5/8/2026 10:59:03
21.00,Utilities,Necessary,Morning,Friday,19,5/8/2026 10:59:53
19.26,Eating Out,Social,Morning,Friday,19,5/8/2026 11:00:11
12.57,Eating Out,Social,Morning,Friday,19,5/8/2026 11:00:25
16.07,Transportation,Social,Morning,Friday,19,5/8/2026 11:00:37
10.00,Eating Out,Necessary,Morning,Friday,19,5/8/2026 11:00:59
3.69,Eating Out,Impulse,Morning,Sunday,20,5/10/2026 8:58:08
4.55,Eating Out,Impulse,Morning,Sunday,20,5/10/2026 8:58:25
10.77,Cooking/Groceries,Necessary,Morning,Sunday,20,5/10/2026 8:58:40
3.24,Eating Out,Social,Morning,Sunday,20,5/10/2026 8:59:04
3.54,Eating Out,Impulse,Morning,Sunday,20,5/10/2026 8:59:19
10.00,Eating Out,Social,Morning,Sunday,20,5/10/2026 8:59:33
4.23,Eating Out,Impulse,Morning,Sunday,20,5/10/2026 8:59:43
0.99,Cooking/Groceries,Impulse,Morning,Monday,20,5/11/2026 9:44:05
11.98,Cooking/Groceries,Impulse,Morning,Monday,20,5/11/2026 9:44:19
12.97,Cooking/Groceries,Impulse,Morning,Monday,20,5/11/2026 9:44:31
12.00,Eating Out,Social,Morning,Monday,20,5/11/2026 9:44:38
17.32,Cooking/Groceries,Necessary,Morning,Tuesday,20,5/12/2026 7:32:10
10.00,Transportation,Necessary,Morning,Tuesday,20,5/12/2026 7:32:15
37.13,Transportation,Necessary,Morning,Tuesday,20,5/12/2026 7:32:40
17.78,Cooking/Groceries,Impulse,Morning,Wednesday,20,5/13/2026 9:39:35
2.48,Eating Out,Impulse,Morning,Wednesday,20,5/13/2026 9:39:45
10.48,Cooking/Groceries,Impulse,Morning,Wednesday,20,5/13/2026 9:40:02
6.10,Eating Out,Impulse,Morning,Wednesday,20,5/13/2026 9:40:13
3.04,Eating Out,Impulse,Evening,Wednesday,20,5/13/2026 17:55:13
10.53,Cooking/Groceries,Impulse,Morning,Thursday,20,5/14/2026 7:22:25
118.65,Travel/Adventure,Social,Evening,Friday,20,5/15/2026 17:10:02
48.93,Travel/Adventure,Social,Evening,Friday,20,5/15/2026 17:10:32
40.00,Beauty/Grooming,Necessary,Evening,Friday,20,5/15/2026 17:10:53
75.00,Travel/Adventure,Social,Evening,Friday,20,5/15/2026 17:11:38
75.00,Travel/Adventure,Social,Evening,Friday,20,5/15/2026 17:17:40
21.51,Projects,Social,Evening,Friday,20,5/15/2026 17:21:34
9.98,Cooking/Groceries,Planned,Evening,Friday,20,5/15/2026 17:22:15
3.69,Eating Out,Impulse,Evening,Friday,20,5/15/2026 17:22:28
75.00,Travel/Adventure,Social,Evening,Friday,20,5/15/2026 17:31:38
3.24,Eating Out,Necessary,Afternoon,Saturday,20,5/16/2026 13:32:49
25.20,Cooking/Groceries,Necessary,Morning,Sunday,21,5/17/2026 8:49:41
3.69,Eating Out,Necessary,Morning,Sunday,21,5/17/2026 8:50:02
4.23,Eating Out,Impulse,Afternoon,Monday,21,5/18/2026 15:36:45
10.56,Eating Out,Social,Afternoon,Monday,21,5/18/2026 15:37:01
3.74,Eating Out,Necessary,Afternoon,Monday,21,5/18/2026 15:37:12
3.69,Eating Out,Impulse,Afternoon,Monday,21,5/18/2026 15:37:36
2.99,Eating Out,Impulse,Afternoon,Monday,21,5/18/2026 15:37:47
3.04,Eating Out,Impulse,Afternoon,Monday,21,5/18/2026 15:37:53
3.24,Eating Out,Impulse,Afternoon,Tuesday,21,5/19/2026 15:40:53
61.36,Eating Out,Social,Afternoon,Tuesday,21,5/19/2026 15:41:01
6.38,Eating Out,Necessary,Afternoon,Tuesday,21,5/19/2026 15:41:10
6.10,Eating Out,Impulse,Afternoon,Tuesday,21,5/19/2026 15:41:19
10.00,Utilities,Necessary,Evening,Thursday,21,5/21/2026 21:47:26
6.38,Eating Out,Impulse,Evening,Thursday,21,5/21/2026 21:48:01
4.16,Projects,Planned,Evening,Thursday,21,5/21/2026 21:48:29
2.79,Eating Out,Impulse,Evening,Thursday,21,5/21/2026 21:48:29
3.34,Eating Out,Impulse,Evening,Thursday,21,5/21/2026 21:50:11
6.10,Eating Out,Impulse,Evening,Thursday,21,5/21/2026 21:52:23
3.69,Eating Out,Impulse,Evening,Thursday,21,5/21/2026 21:52:51
10.80,Cooking/Groceries,Necessary,Afternoon,Tuesday,22,5/26/2026 12:17:24
20.59,Eating Out,Social,Afternoon,Tuesday,22,5/26/2026 12:17:36
8.74,Transportation,Necessary,Afternoon,Tuesday,22,5/26/2026 12:17:48
17.95,Transportation,Social,Afternoon,Tuesday,22,5/26/2026 12:18:11
12.47,Cooking/Groceries,Social,Afternoon,Tuesday,22,5/26/2026 12:18:28
2.69,Transportation,Necessary,Afternoon,Tuesday,22,5/26/2026 12:18:48
5.62,Eating Out,Social,Afternoon,Tuesday,22,5/26/2026 12:18:59
30.20,Transportation,Necessary,Evening,Friday,22,5/29/2026 17:40:17
31.98,Clothing,Necessary,Evening,Friday,22,5/29/2026 17:41:16
15.68,Cooking/Groceries,Necessary,Evening,Friday,22,5/29/2026 17:42:48
22.99,Transportation,Necessary,Evening,Friday,22,5/29/2026 17:43:03
31.90,Transportation,Social,Evening,Friday,22,5/29/2026 17:43:29
5.75,Transportation,Social,Evening,Friday,22,5/29/2026 17:43:39
3.69,Eating Out,Necessary,Evening,Friday,22,5/29/2026 17:44:02
2.21,Transportation,Necessary,Evening,Friday,22,5/29/2026 17:44:10
19.60,Transportation,Necessary,Morning,Saturday,22,5/30/2026 4:36:57
40.79,Transportation,Necessary,Morning,Sunday,23,5/31/2026 9:40:16
6.38,Eating Out,Necessary,Morning,Sunday,23,5/31/2026 9:40:44
39.97,Transportation,Necessary,Morning,Sunday,23,5/31/2026 9:41:18
4.00,Transportation,Necessary,Morning,Sunday,23,5/31/2026 9:41:30
14.97,Eating Out,Social,Late Night,Sunday,23,5/31/2026 23:15:40
8.38,Eating Out,Social,Late Night,Sunday,23,5/31/2026 23:15:50
6.41,Eating Out,Social,Late Night,Sunday,23,5/31/2026 23:16:14
